59776	141899
97143	97206
91911	16258
94704	24516
32126	2843
64340	139535
92558	137436
26694	79758
5024	69560
20788	87772
21060	39553
122506	117521
14062	125973
118942	83734
133328	130279
59928	126049
46184	130950
121398	133443
149849	55962
59105	142758
154732	55152
157212	8450
32645	78571
74434	54995
129720	68939
93947	32906
62411	26217
25180	23466
155984	22248
103793	118692
141270	121132
107594	38025
76703	28192
12065	76247
59912	136834
92980	121119
105374	74542
81396	15506
150920	157138
120573	33164
85778	154307
89087	119702
151266	17232
138928	155721
105438	155830
55029	120064
24973	141849
129754	55421
14100	43899
86898	155189
94650	10344
126050	33530
84300	98718
60217	81851
95053	129604
67833	55779
12778	57057
30997	131201
134382	80206
142501	155186
55932	153874
1932	54364
72316	141694
101104	54934
95783	78758
85673	146656
154533	96373
148213	24150
121819	72180
50939	31512
136022	29896
156919	144126
111777	31870
48615	101688
50686	130345
26256	90610
68976	138874
125756	100353
155087	21386
3277	101176
7764	105131
87689	21824
65321	99815
89955	76407
98022	110962
12751	99744
14811	7821
56573	12200
39869	75014
77586	57360
11602	110909
134579	19489
2029	84491
49118	1870
107350	117105
22563	120262
102839	123637
51480	130827
84646	19477
110692	20917
28561	64708
57823	156321
13083	23927
59152	122918
35554	44007
78252	7848
31145	137779
42519	137556
34782	140455
120657	99266
15023	34167
69261	53046
123540	151342
130119	107420
68986	107413
72924	82843
34293	64582
85895	132350
7693	127254
12711	39829
114494	92450
135744	43473
60563	83564
71990	72217
82000	153506
130178	62850
73603	152089
35579	130774
8255	87192
16890	42097
124733	55442
137214	52847
37226	117141
120758	50088
118756	79371
42066	91520
63175	17246
116898	156413
98226	45870
103800	105346
47	56397
136298	73769
15087	90179
76040	45600
50601	48274
24060	136324
145742	96458
1446	8403
56763	89838
23838	137509
